Reference Year,Facility Description,Total Facility Emission (tonnes CO2e)
2006,Paper (except Newsprint) Mills,577855.7
2006,Petrochemical Manufacturing,2066021.28
2006,Petroleum Refineries,4488943.8
2006,Pipeline Transportation of Natural Gas,3219651.65
2006,Steel Foundries,16442.66
2006,Waste Collection,30436.0
2006,Waste Treatment and Disposal,2592303.75
2006,Wet Corn Milling,126166.96
2007,All Other Basic Inorganic Chemical Manufacturing,436081.41
2007,All Other Miscellaneous Chemical Product Manufacturing,2436.04
2007,All Other Miscellaneous Manufacturing,766.41
2007,Automobile and Light-Duty Motor Vehicle Manufacturing,368403.06
2007,Cement Manufacturing,5942123.95
2007,Chemical Fertilizer (except Potash) Manufacturing,573988.36
2007,Chemical Pulp Mills,410575.39
2007,Conventional Oil and Gas Extraction,175628.9
2007,Fossil-Fuel Electric Power Generation,33549399.57
2007,Glass Manufacturing,99212.6
2007,Industrial Gas Manufacturing,357563.26
2007,Iron and Steel Mills and Ferro-Alloy Manufacturing,14797014.41
2007,Lime Manufacturing,1254550.22
2007,Natural Gas Distribution,684052.79
2007,Non-Ferrous Metal (except Aluminum) Smelting and Refining,961313.29
2007,Other Basic Organic Chemical Manufacturing,1824527.85
2007,Other Petroleum and Coal Products Manufacturing,424317.64
2007,Other Support Activities for Air Transportation,125946.46
2007,Paper (except Newsprint) Mills,497804.56
2007,Petrochemical Manufacturing,2085995.78
2007,Petroleum Refineries,4395083.26
2007,Pipeline Transportation of Natural Gas,2807091.56
2007,Waste Collection,29260.0
2007,Waste Treatment and Disposal,2654865.67
2007,Wet Corn Milling,124243.83
2008,All Other Basic Inorganic Chemical Manufacturing,409875.54
2008,All Other Miscellaneous Chemical Product Manufacturing,3248.26
2008,All Other Miscellaneous Manufacturing,1075.78
2008,Automobile and Light-Duty Motor Vehicle Manufacturing,126350.94
2008,Cement Manufacturing,5175073.12
2008,Chemical Fertilizer (except Potash) Manufacturing,595893.03
2008,Chemical Pulp Mills,365489.5
2008,Conventional Oil and Gas Extraction,169960.35
2008,Fossil-Fuel Electric Power Generation,28274933.82
2008,Glass Manufacturing,96802.23
2008,Industrial Gas Manufacturing,484509.26
2008,Iron and Steel Mills and Ferro-Alloy Manufacturing,14612370.02
2008,Lime Manufacturing,1215842.19
2008,Motor Vehicle Metal Stamping,0.66
2008,Natural Gas Distribution,699541.26
2008,Non-Ferrous Foundries (except Die-Casting),151761.15
2008,Non-Ferrous Metal (except Aluminum) Smelting and Refining,644485.08
2008,Other Basic Organic Chemical Manufacturing,2556803.12
2008,Other Petroleum and Coal Products Manufacturing,405862.74
2008,Other Support Activities for Air Transportation,91953.96
2008,Paper (except Newsprint) Mills,486013.61
2008,Petrochemical Manufacturing,1926483.42
2008,Petroleum Refineries,4019110.64
2008,Pipeline Transportation of Natural Gas,2216132.33
2008,Sewage Treatment Facilities,106538.03
2008,Waste Collection,28107.38
2008,Waste Treatment and Disposal,2478887.25
2008,Wet Corn Milling,119968.72
2009,All Other Basic Inorganic Chemical Manufacturing,368864.76
2009,All Other Miscellaneous Chemical Product Manufacturing,3316.19
2009,All Other Miscellaneous Manufacturing,800.02
2009,All Other Non-Metallic Mineral Mining and Quarrying,60415.62
2009,All Other Non-Metallic Mineral Product Manufacturing,117365.34
2009,Artificial and Synthetic Fibres and Filaments Manufacturing,79891.86
2009,Automobile and Light-Duty Motor Vehicle Manufacturing,307648.53
2009,Cement Manufacturing,3738993.28
2009,Chemical Fertilizer (except Potash) Manufacturing,513272.45
2009,Chemical Pulp Mills,120945.64
2009,Conventional Oil and Gas Extraction,154169.18
2009,Fossil-Fuel Electric Power Generation,17670091.29
2009,"Fruit and Vegetable Canning, Pickling and Drying",63576.01
2009,Glass Manufacturing,61797.63
2009,Gold and Silver Ore Mining,30923.83
2009,Gypsum Product Manufacturing,55256.81
2009,Industrial Gas Manufacturing,471846.26
2009,Iron and Steel Mills and Ferro-Alloy Manufacturing,9728002.26
2009,Lime Manufacturing,760982.67
2009,Motor Vehicle Metal Stamping,0.66
2009,Natural Gas Distribution,1296430.71
2009,Newsprint Mills,62617.17
2009,Non-Ferrous Foundries (except Die-Casting),111214.55
2009,Non-Ferrous Metal (except Aluminum) Smelting and Refining,528085.55
2009,Nuclear Electric Power Generation,77658.06
2009,Office Furniture (except Wood) Manufacturing,1770.58
2009,Oilseed Processing,126086.61
2009,Other Basic Organic Chemical Manufacturing,1297480.92
2009,Other Electric Power Generation,662145.37
2009,Other Petroleum and Coal Products Manufacturing,403057.56
2009,Other Support Activities for Air Transportation,102940.2
2009,Paper (except Newsprint) Mills,285929.25
2009,Paperboard Mills,50247.13
2009,Particle Board and Fibreboard Mills,22546.6
2009,Petrochemical Manufacturing,1581170.94
2009,Petroleum Refineries,3881571.55
2009,Pipeline Transportation of Natural Gas,1242689.39
2009,Resin and Synthetic Rubber Manufacturing,127306.53
2009,Sewage Treatment Facilities,116910.21
2009,Steam and Air-Conditioning Supply,194182.62
2009,Sugar Manufacturing,66515.54
2009,Universities,147256.5
2009,Waste Collection,27005.27
2009,Waste Treatment and Disposal,3043543.69
2009,Wet Corn Milling,186732.2
2010,All Other Basic Inorganic Chemical Manufacturing,412054.06
2010,All Other Miscellaneous Chemical Product Manufacturing,2503.03
2010,All Other Miscellaneous Manufacturing,677.55
2010,Artificial and Synthetic Fibres and Filaments Manufacturing,88465.25
2010,Automobile and Light-Duty Motor Vehicle Manufacturing,340517.95
2010,Cement Manufacturing,4384507.44
2010,Chemical Fertilizer (except Potash) Manufacturing,565823.42
2010,Chemical Pulp Mills,152686.98
2010,Conventional Oil and Gas Extraction,139759.61
2010,Distilleries,54145.55
2010,Fossil-Fuel Electric Power Generation,22185579.43
2010,Frozen Food Manufacturing,25258.03
2010,"Fruit and Vegetable Canning, Pickling and Drying",63657.69
2010,Glass Manufacturing,60629.96
2010,Gold and Silver Ore Mining,48785.61
2010,Gypsum Product Manufacturing,52297.48
2010,Industrial Gas Manufacturing,390868.57
2010,Iron and Steel Mills and Ferro-Alloy Manufacturing,11435551.86
2010,Iron and Steel Pipes and Tubes Manufacturing from Purchased Steel,88081.78
2010,Lime Manufacturing,991181.0
2010,Motor Vehicle Metal Stamping,0.66
2010,Natural Gas Distribution,1356981.79
2010,Non-Ferrous Foundries (except Die-Casting),98517.29
2010,Non-Ferrous Metal (except Aluminum) Smelting and Refining,453959.35
2010,Nuclear Electric Power Generation,74914.07
2010,Office Furniture (except Wood) Manufacturing,6684.65
2010,Oilseed Processing,126194.54
2010,Other Basic Organic Chemical Manufacturing,714247.16
2010,Other Electric Power Generation,1527752.59
2010,Other Federal Government Public Administration,55295.8
2010,Other Petroleum and Coal Products Manufacturing,367617.71
2010,Other Support Activities for Air Transportation,70389.7
2010,Paper (except Newsprint) Mills,309557.93
2010,Paperboard Mills,108537.18
2010,Particle Board and Fibreboard Mills,24808.81
2010,Petrochemical Manufacturing,1877570.25
2010,Petroleum Refineries,3768871.52
2010,Pharmaceutical and Medicine Manufacturing,748.04
2010,Pipeline Transportation of Natural Gas,660910.33
2010,Resin and Synthetic Rubber Manufacturing,129866.38
2010,Sewage Treatment Facilities,59040.19
2010,Steam and Air-Conditioning Supply,180519.29
2010,Sugar Manufacturing,66058.74
2010,Universities,217747.49
2010,Waste Treatment and Disposal,2708440.65
2010,Wet Corn Milling,201525.04
2010,"Wood Office Furniture, including Custom Architectural Woodwork, Manufacturing",830.09
2011,All Other Basic Inorganic Chemical Manufacturing,460928.14
2011,All Other Miscellaneous Chemical Product Manufacturing,2770.23
2011,All Other Miscellaneous Manufacturing,775.23
2011,All Other Non-Metallic Mineral Product Manufacturing,61260.62
2011,Artificial and Synthetic Fibres and Filaments Manufacturing,86971.37
2011,Automobile and Light-Duty Motor Vehicle Manufacturing,357506.08
2011,Cement Manufacturing,4346200.98
2011,Chemical Fertilizer (except Potash) Manufacturing,635576.43
2011,Chemical Pulp Mills,276939.88
2011,Clay Building Material and Refractory Manufacturing,53393.48
2011,Community Colleges and C.E.G.E.P.s,3139.58
2011,Conventional Oil and Gas Extraction,133972.93
2011,Distilleries,56471.34
2011,Fossil-Fuel Electric Power Generation,14601275.98
2011,Frozen Food Manufacturing,23544.22
2011,"Fruit and Vegetable Canning, Pickling and Drying",64347.49
2011,Glass Manufacturing,73312.09
2011,Gypsum Product Manufacturing,52389.69
2011,Industrial Gas Manufacturing,434351.43
2011,Institutional Furniture Manufacturing,655.93
2011,Iron and Steel Mills and Ferro-Alloy Manufacturing,11731675.43
2011,Iron and Steel Pipes and Tubes Manufacturing from Purchased Steel,93294.11
2011,Lime Manufacturing,1033479.71
2011,Natural Gas Distribution,1252468.48
2011,Non-Ferrous Foundries (except Die-Casting),54243.41
2011,Non-Ferrous Metal (except Aluminum) Smelting and Refining,486175.5
2011,Nuclear Electric Power Generation,49795.93
2011,Office Furniture (except Wood) Manufacturing,9938.1
2011,Oilseed Processing,130786.22
2011,Other Basic Organic Chemical Manufacturing,1107142.78
2011,Other Electric Power Generation,1536060.09
2011,Other Federal Government Public Administration,68353.41
2011,Other Petroleum and Coal Products Manufacturing,393856.51
2011,Other Support Activities for Air Transportation,65322.64
2011,Paper (except Newsprint) Mills,300439.0
2011,Paperboard Mills,109387.45
2011,Particle Board and Fibreboard Mills,30125.73
2011,Petrochemical Manufacturing,1754354.05
2011,Petroleum Refineries,3730328.1
2011,Pipeline Transportation of Natural Gas,779082.87
2011,Resin and Synthetic Rubber Manufacturing,116439.93
2011,Sewage Treatment Facilities,2648.09
2011,Steam and Air-Conditioning Supply,244794.7
2011,Sugar Manufacturing,61411.03
2011,Universities,219429.6
2011,Waste Treatment and Disposal,2805144.67
2011,Wet Corn Milling,200330.74
2011,"Wood Office Furniture, including Custom Architectural Woodwork, Manufacturing",1010.95
2012,All Other Basic Inorganic Chemical Manufacturing,419934.68
2012,All Other Miscellaneous Chemical Product Manufacturing,2429.45
2012,All Other Miscellaneous Manufacturing,845.85
2012,All Other Non-Metallic Mineral Product Manufacturing,66653.75
2012,All Other Waste Management Services,152916.62
2012,Artificial and Synthetic Fibres and Filaments Manufacturing,79003.0
2012,Automobile and Light-Duty Motor Vehicle Manufacturing,362553.03
2012,Cement Manufacturing,4681250.17
2012,Chemical Fertilizer (except Potash) Manufacturing,622976.51
2012,Chemical Pulp Mills,205885.83
2012,Clay Building Material and Refractory Manufacturing,72740.82
2012,Community Colleges and C.E.G.E.P.s,2321.0
2012,Conventional Oil and Gas Extraction,144984.72
2012,Distilleries,58399.53
2012,Fossil-Fuel Electric Power Generation,14938157.52
2012,"Fruit and Vegetable Canning, Pickling and Drying",56375.51
2012,Glass Manufacturing,67326.95
2012,Gypsum Product Manufacturing,52501.15
2012,Industrial Gas Manufacturing,485747.85
2012,Institutional Furniture Manufacturing,796.12
2012,Iron and Steel Mills and Ferro-Alloy Manufacturing,12292865.22
2012,Iron and Steel Pipes and Tubes Manufacturing from Purchased Steel,105216.57
2012,Lime Manufacturing,1089797.98
2012,Natural Gas Distribution,1179535.0
2012,Non-Ferrous Foundries (except Die-Casting),86329.14
2012,Non-Ferrous Metal (except Aluminum) Smelting and Refining,490419.98
2012,Office Furniture (except Wood) Manufacturing,11655.56
2012,Oilseed Processing,116889.79
2012,Other Basic Organic Chemical Manufacturing,769048.33
2012,Other Electric Power Generation,1469833.93
2012,Other Federal Government Public Administration,60713.24
2012,Other Petroleum and Coal Products Manufacturing,391262.03
2012,Other Support Activities for Air Transportation,63880.35
2012,Paper (except Newsprint) Mills,314416.41
2012,Paperboard Mills,116149.2
2012,Particle Board and Fibreboard Mills,38443.44
2012,Petrochemical Manufacturing,1791779.31
2012,Petroleum Refineries,3752027.83
2012,Pipeline Transportation of Natural Gas,663393.41
2012,Resin and Synthetic Rubber Manufacturing,124680.66
2012,Sewage Treatment Facilities,46935.99
2012,Steam and Air-Conditioning Supply,228095.21
2012,Sugar Manufacturing,60220.7
2012,Universities,207557.74
2012,Waste Treatment and Disposal,2523594.8
2012,Wet Corn Milling,201001.56
2012,"Wood Office Furniture, including Custom Architectural Woodwork, Manufacturing",753.51
2013,All Other Basic Inorganic Chemical Manufacturing,430680.13
2013,All Other Miscellaneous Chemical Product Manufacturing,2796.42
2013,All Other Miscellaneous Manufacturing,1085.42
2013,All Other Non-Metallic Mineral Product Manufacturing,93456.52
2013,Artificial and Synthetic Fibres and Filaments Manufacturing,83993.76
2013,Automobile and Light-Duty Motor Vehicle Manufacturing,394941.84
2013,Cement Manufacturing,4401003.77
2013,Chemical Fertilizer (except Potash) Manufacturing,575538.63
2013,Chemical Pulp Mills,418976.66
2013,Clay Building Material and Refractory Manufacturing,56671.87
2013,Community Colleges and C.E.G.E.P.s,2922.93
2013,Conventional Oil and Gas Extraction,135193.07
2013,Distilleries,65398.69
2013,Fossil-Fuel Electric Power Generation,11652620.29
2013,Glass Manufacturing,57323.8
2013,Gold and Silver Ore Mining,184543.52
2013,Gypsum Product Manufacturing,48529.53
2013,Industrial Gas Manufacturing,509297.65
2013,Institutional Furniture Manufacturing,812.97
2013,Iron and Steel Mills and Ferro-Alloy Manufacturing,10427201.49
2013,Iron and Steel Pipes and Tubes Manufacturing from Purchased Steel,86649.01
2013,Lime Manufacturing,784946.99
2013,Natural Gas Distribution,1248966.96
2013,Non-Ferrous Die-Casting Foundries,90668.88
2013,Non-Ferrous Foundries (except Die-Casting),63788.77
2013,Non-Ferrous Metal (except Aluminum) Smelting and Refining,505701.15
2013,Office Furniture (except Wood) Manufacturing,11860.38
2013,Oilseed Processing,116004.49
2013,Other Basic Organic Chemical Manufacturing,859096.92
2013,Other Electric Power Generation,1777762.17
2013,Other Federal Government Public Administration,46367.64
2013,Other Petroleum and Coal Products Manufacturing,373629.47
2013,Other Support Activities for Air Transportation,48885.07
2013,Paper (except Newsprint) Mills,354080.86
2013,Paperboard Mills,102491.56
2013,Particle Board and Fibreboard Mills,42318.77
2013,Petrochemical Manufacturing,1857463.3
2013,Petroleum Refineries,3644173.67
2013,Pipeline Transportation of Natural Gas,890707.46
2013,Resin and Synthetic Rubber Manufacturing,115481.2
2013,Sewage Treatment Facilities,54676.14
2013,Steam and Air-Conditioning Supply,241400.59
2013,Sugar Manufacturing,64794.55
2013,Universities,203972.4
2013,Waste Treatment and Disposal,2727064.46
2013,Wet Corn Milling,192096.62
2013,"Wood Office Furniture, including Custom Architectural Woodwork, Manufacturing",810.88
2014,All Other Basic Inorganic Chemical Manufacturing,476094.7
2014,All Other Miscellaneous Manufacturing,1033.24
2014,All Other Non-Metallic Mineral Product Manufacturing,89362.42
2014,Artificial and Synthetic Fibres and Filaments Manufacturing,90336.51
2014,Automobile and Light-Duty Motor Vehicle Manufacturing,403064.03
2014,Cement Manufacturing,4353454.18
2014,Chemical Fertilizer (except Potash) Manufacturing,558776.03
2014,Chemical Pulp Mills,447096.18
2014,Clay Building Material and Refractory Manufacturing,50263.24
2014,Community Colleges and C.E.G.E.P.s,3235.77
2014,Conventional Oil and Gas Extraction,145376.08
2014,Distilleries,67944.96
2014,Fossil-Fuel Electric Power Generation,7389815.34
2014,Frozen Food Manufacturing,25374.19
2014,Glass Manufacturing,64807.32
2014,Gold and Silver Ore Mining,141404.71
2014,Gypsum Product Manufacturing,52053.28
2014,Industrial Gas Manufacturing,460604.85
2014,Institutional Furniture Manufacturing,742.52
2014,Iron and Steel Mills and Ferro-Alloy Manufacturing,11771179.57
2014,Iron and Steel Pipes and Tubes Manufacturing from Purchased Steel,105651.7
2014,Lime Manufacturing,997178.91
2014,Natural Gas Distribution,1200510.83
2014,Non-Ferrous Metal (except Aluminum) Smelting and Refining,504043.28
2014,Office Furniture (except Wood) Manufacturing,12022.06
2014,Oilseed Processing,111762.34
2014,Other Basic Organic Chemical Manufacturing,744721.15
2014,Other Electric Power Generation,1465041.0
2014,Other Federal Government Public Administration,42695.23
2014,Other Petroleum and Coal Products Manufacturing,411405.86
2014,Other Support Activities for Air Transportation,61052.68
2014,Paper (except Newsprint) Mills,272041.63
2014,Paperboard Mills,57043.0
2014,Particle Board and Fibreboard Mills,34785.22
2014,Petrochemical Manufacturing,1663043.85
2014,Petroleum Refineries,4033741.91
2014,Pipeline Transportation of Natural Gas,1379345.34
2014,Resin and Synthetic Rubber Manufacturing,107397.07
2014,Sewage Treatment Facilities,58857.39
2014,Steam and Air-Conditioning Supply,254102.3
2014,Sugar Manufacturing,60008.91
2014,Universities,211409.4
2014,Waste Treatment and Disposal,3060639.53
2014,Wet Corn Milling,194589.99
2014,"Wood Office Furniture, including Custom Architectural Woodwork, Manufacturing",902.21
2015,All Other Basic Inorganic Chemical Manufacturing,430317.27
2015,All Other Miscellaneous Manufacturing,492.1
2015,All Other Non-Metallic Mineral Product Manufacturing,86163.54
2015,Artificial and Synthetic Fibres and Filaments Manufacturing,90207.26
2015,Automobile and Light-Duty Motor Vehicle Manufacturing,389639.96
2015,Cement Manufacturing,4902935.28
2015,Chemical Fertilizer (except Potash) Manufacturing,492204.38
2015,Chemical Pulp Mills,440178.28
2015,Clay Building Material and Refractory Manufacturing,60948.41
2015,Community Colleges and C.E.G.E.P.s,2925.58
2015,Conventional Oil and Gas Extraction,143862.03
2015,Distilleries,64388.18
2015,Fossil-Fuel Electric Power Generation,7332034.5
2015,Frozen Food Manufacturing,25537.85
2015,Glass Manufacturing,66499.46
2015,Gold and Silver Ore Mining,179489.63
2015,Gypsum Product Manufacturing,57430.53
2015,Industrial Gas Manufacturing,570076.05
2015,Institutional Furniture Manufacturing,715.25
2015,Iron and Steel Mills and Ferro-Alloy Manufacturing,10453002.35
2015,Lime Manufacturing,908089.14
2015,Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing,13953.0
2015,Natural Gas Distribution,987678.32
2015,Non-Ferrous Metal (except Aluminum) Smelting and Refining,495145.97
2015,Office Furniture (except Wood) Manufacturing,11707.85
2015,Oilseed Processing,68715.65
2015,Other Basic Organic Chemical Manufacturing,750075.11
2015,Other Electric Power Generation,1441660.33
2015,Other Federal Government Public Administration,43527.65
2015,Other Petroleum and Coal Products Manufacturing,373255.81
2015,Other Support Activities for Air Transportation,92172.53
2015,Paper (except Newsprint) Mills,245520.81
2015,Paperboard Mills,89501.47
2015,Particle Board and Fibreboard Mills,36877.52
2015,Petrochemical Manufacturing,1500459.53
2015,Petroleum Refineries,3919305.53
2015,Pharmaceutical and Medicine Manufacturing,53638.3
2015,Pipeline Transportation of Natural Gas,1441206.86
2015,Resin and Synthetic Rubber Manufacturing,120378.68
2015,Sewage Treatment Facilities,52264.68
2015,Steam and Air-Conditioning Supply,200398.66
2015,Sugar Manufacturing,58227.1
2015,Universities,265210.81
2015,Waste Treatment and Disposal,3432245.27
2015,Wet Corn Milling,121983.2
2015,"Wood Office Furniture, including Custom Architectural Woodwork, Manufacturing",895.18
2016,All Other Basic Inorganic Chemical Manufacturing,405375.09
2016,All Other Miscellaneous Manufacturing,76.54
2016,All Other Non-Metallic Mineral Product Manufacturing,81650.03
2016,Artificial and Synthetic Fibres and Filaments Manufacturing,92151.53
2016,Automobile and Light-Duty Motor Vehicle Manufacturing,406129.06
2016,Cement Manufacturing,5012574.77
2016,Chemical Fertilizer (except Potash) Manufacturing,566719.39
2016,Chemical Pulp Mills,402269.17
2016,Clay Building Material and Refractory Manufacturing,69651.42
2016,Community Colleges and C.E.G.E.P.s,2733.52
2016,Conventional Oil and Gas Extraction,139575.23
2016,Distilleries,63225.15
2016,Fossil-Fuel Electric Power Generation,6329367.15
2016,Frozen Food Manufacturing,31644.83
2016,Glass Manufacturing,66751.73
2016,Gold and Silver Ore Mining,238045.68
2016,Gypsum Product Manufacturing,62420.68
2016,Industrial Gas Manufacturing,522885.25
2016,Institutional Furniture Manufacturing,673.18
2016,Iron and Steel Mills and Ferro-Alloy Manufacturing,11113942.43
2016,Lime Manufacturing,1015355.57
2016,Natural Gas Distribution,1007472.53
2016,Non-Ferrous Metal (except Aluminum) Smelting and Refining,512786.72
2016,Office Furniture (except Wood) Manufacturing,11544.01
2016,Oilseed Processing,63277.03
2016,Other Basic Organic Chemical Manufacturing,776944.02
2016,Other Electric Power Generation,1347829.17
2016,Other Federal Government Public Administration,37203.29
2016,Other Petroleum and Coal Products Manufacturing,409525.82
2016,Other Support Activities for Air Transportation,67667.06
2016,Paper (except Newsprint) Mills,261136.61
2016,Paperboard Mills,152595.38
2016,Particle Board and Fibreboard Mills,44336.65
2016,Petrochemical Manufacturing,1444911.24
2016,Petroleum Refineries,3951808.09
2016,Pharmaceutical and Medicine Manufacturing,53793.77
2016,Pipeline Transportation of Natural Gas,1195368.4
2016,Resin and Synthetic Rubber Manufacturing,120875.9
2016,Salt Mining,22346.87
2016,Sewage Treatment Facilities,55479.16
2016,Steam and Air-Conditioning Supply,181511.91
2016,Sugar Manufacturing,64131.31
2016,Universities,179880.44
2016,Waste Treatment and Disposal,3429588.35
2016,Wet Corn Milling,126123.02
2016,"Wood Office Furniture, including Custom Architectural Woodwork, Manufacturing",643.82
2017,All Other Basic Inorganic Chemical Manufacturing,498066.89
2017,All Other Converted Paper Product Manufacturing,15516.56
2017,All Other Metal Ore Mining,33054.08
2017,All Other Miscellaneous Chemical Product Manufacturing,46846.77
2017,All Other Miscellaneous Manufacturing,15087.25
2017,All Other Non-Metallic Mineral Mining and Quarrying,33960.16
2017,All Other Non-Metallic Mineral Product Manufacturing,158546.68
2017,"All Other Professional, Scientific and Technical Services",33519.86
2017,"Aluminum Rolling, Drawing, Extruding and Alloying",90902.19
2017,Animal (except Poultry) Slaughtering,10929.34
2017,Artificial and Synthetic Fibres and Filaments Manufacturing,96302.92
2017,Asphalt Shingle and Coating Material Manufacturing,12484.05
2017,Automobile and Light-Duty Motor Vehicle Manufacturing,550315.78
2017,Breweries,13847.4
2017,"Butter, Cheese, and Dry and Condensed Dairy Products Manufacturing",52995.4
2017,Casino Hotels,12252.01
2017,Cement Manufacturing,4846440.24
2017,Chemical Fertilizer (except Potash) Manufacturing,487612.46
2017,Chemical Pulp Mills,427696.55
2017,Chocolate and chocolate confectionery manufacturing from cacao beans,23396.9
2017,Clay Building Material and Refractory Manufacturing,73178.1
2017,"Coating, Engraving, Heat Treating and Allied Activities",79122.56
2017,Community Colleges and C.E.G.E.P.s,2855.39
2017,Conventional Oil and Gas Extraction,140305.52
2017,"Copper Rolling, Drawing, Extruding and Alloying",13027.09
2017,Copper-Zinc Ore Mining,34814.81
2017,Defence Services,104145.0
2017,Diamond Mining,26233.59
2017,Distilleries,79579.26
2017,Dry Cleaning and Laundry Services (except Coin-Operated),10748.61
2017,"Fibre, Yarn and Thread Mills",10093.97
2017,Floriculture Production,15490.6
2017,Forging,23474.64
2017,Fossil-Fuel Electric Power Generation,3463830.14
2017,Frozen Food Manufacturing,32698.24
2017,"Fruit and Vegetable Canning, Pickling and Drying",53465.39
2017,General (except Paediatric) Hospitals,175323.31
2017,Glass Manufacturing,79605.4
2017,Gold and Silver Ore Mining,569516.01
2017,Gypsum Product Manufacturing,100126.38
2017,Hardwood Veneer and Plywood Mills,14168.5
2017,Industrial Gas Manufacturing,686337.1
2017,Institutional Furniture Manufacturing,694.8
2017,Iron and Steel Mills and Ferro-Alloy Manufacturing,11321186.07
2017,Iron and Steel Pipes and Tubes Manufacturing from Purchased Steel,96239.49
2017,Lime Manufacturing,1067356.48
2017,Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing,15000.66
2017,Motor Vehicle Transmission and Power Train Parts Manufacturing,29500.88
2017,Natural Gas Distribution,853936.86
2017,Newsprint Mills,38187.06
2017,Nickel-Copper Ore Mining,50206.14
2017,Non-Ferrous Die-Casting Foundries,38641.74
2017,Non-Ferrous Foundries (except Die-Casting),57516.32
2017,Non-Ferrous Metal (except Aluminum) Smelting and Refining,517948.35
2017,"Non-Ferrous Metal (except Copper and Aluminum) Rolling, Drawing, Extruding and Alloying",22353.16
2017,Office Furniture (except Wood) Manufacturing,11200.98
2017,Oilseed Processing,114668.68
2017,Other Basic Organic Chemical Manufacturing,819236.86
2017,Other Electric Power Generation,1499464.93
2017,Other Federal Government Public Administration,56721.02
2017,Other Food Crops Grown Under Cover,534935.71
2017,Other Motor Vehicle Parts Manufacturing,64422.4
2017,Other Petroleum and Coal Products Manufacturing,533004.02
2017,Other Snack Food Manufacturing,31929.06
2017,Other Support Activities for Air Transportation,68034.76
2017,Paediatric Hospitals,32711.57
2017,Paper (except Newsprint) Mills,306837.13
2017,Paper Bag and Coated and Treated Paper Manufacturing,13384.15
